Partido,Oponente,Resultado,Goles a favor,Goles en contra,Definicion penales,penales a favor,penales en contra
08/07/2023,Philadelphia,V,3,1,0,0,0
15/07/2023,Vancouver,D,2,4,0,0,0
26/08/2023,Chicago Fire,V,3,0,0,0,0
30/08/2023,San Jose,V,3,2,0,0,0
02/09/2023,Dynamo FC,E,0,0,0,0,0
10/09/2023,St. Louis,E,2,2,0,0,0
16/09/2023,Los Angeles FC,D,2,4,0,0,0
20/09/2023,Minessota Utd,V,4,3,0,0,0
24/09/2023,Austin,E,3,3,0,0,0
30/09/2023,Portland Timbers,E,3,3,0,0,0
04/10/2023,Seattle,D,1,2,0,0,0
07/10/2023,Minessota Utd,D,2,5,0,0,0
14/10/2023,Real Salt Lake,E,2,2,0,0,0
21/10/2023,FC Dallas,D,1,4,0,0,0